epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,152.748,4.08571,0.64112,0.84802,2.20542,3.19137e-05,3.19137e-05,3.19137e-05
2,301.327,1.09889,0.93997,0.99063,0.27538,6.26483e-05,6.26483e-05,6.26483e-05
3,450.511,0.32831,0.957,0.99447,0.17515,9.21156e-05,9.21156e-05,9.21156e-05
4,601.381,0.20293,0.96637,0.99702,0.13957,9.02976e-05,9.02976e-05,9.02976e-05
5,749.034,0.13747,0.9702,0.99787,0.11977,8.83968e-05,8.83968e-05,8.83968e-05
6,899.601,0.11606,0.97063,0.99787,0.11664,8.6496e-05,8.6496e-05,8.6496e-05
7,1046.71,0.09071,0.97829,0.99787,0.08373,8.45952e-05,8.45952e-05,8.45952e-05
8,1198,0.07316,0.97829,0.99872,0.09269,8.26944e-05,8.26944e-05,8.26944e-05
9,1346.88,0.07511,0.97829,0.9983,0.0861,8.07936e-05,8.07936e-05,8.07936e-05
10,1492.57,0.0681,0.97829,0.99787,0.07676,7.88928e-05,7.88928e-05,7.88928e-05
11,1635.54,0.05763,0.98169,0.99872,0.07294,7.6992e-05,7.6992e-05,7.6992e-05
12,1784.37,0.05066,0.97914,0.99872,0.08174,7.50912e-05,7.50912e-05,7.50912e-05
13,1926.39,0.05123,0.97701,0.99915,0.08145,7.31904e-05,7.31904e-05,7.31904e-05
14,2071.89,0.04841,0.97659,0.99787,0.08127,7.12896e-05,7.12896e-05,7.12896e-05
15,2215.19,0.05047,0.97999,0.9983,0.07571,6.93888e-05,6.93888e-05,6.93888e-05
16,2360.3,0.04,0.97786,0.9983,0.07334,6.7488e-05,6.7488e-05,6.7488e-05
17,2503.47,0.04326,0.98169,0.9983,0.07288,6.55872e-05,6.55872e-05,6.55872e-05
18,2649.65,0.03827,0.97871,0.99872,0.07325,6.36864e-05,6.36864e-05,6.36864e-05
19,2793.56,0.04394,0.97999,0.99915,0.06396,6.17856e-05,6.17856e-05,6.17856e-05
20,2939.04,0.04106,0.98042,0.99957,0.06015,5.98848e-05,5.98848e-05,5.98848e-05
21,3080.42,0.0325,0.98382,0.99872,0.05992,5.7984e-05,5.7984e-05,5.7984e-05
22,3228.55,0.02916,0.98595,0.99915,0.06049,5.60832e-05,5.60832e-05,5.60832e-05
23,3374.79,0.03044,0.98169,0.99915,0.06553,5.41824e-05,5.41824e-05,5.41824e-05
24,3517.17,0.0267,0.9851,0.99915,0.05558,5.22816e-05,5.22816e-05,5.22816e-05
25,3659.88,0.02625,0.98169,0.99872,0.06273,5.03808e-05,5.03808e-05,5.03808e-05
26,3803.27,0.02414,0.9834,0.99957,0.06193,4.848e-05,4.848e-05,4.848e-05
27,3945.28,0.02429,0.9834,0.99915,0.06645,4.65792e-05,4.65792e-05,4.65792e-05
28,4090.58,0.02501,0.98467,0.99957,0.0502,4.46784e-05,4.46784e-05,4.46784e-05
29,4233.92,0.02036,0.98382,0.99915,0.05149,4.27776e-05,4.27776e-05,4.27776e-05
30,4379.52,0.02216,0.98382,0.99915,0.05467,4.08768e-05,4.08768e-05,4.08768e-05
31,4524.98,0.01723,0.98467,0.99915,0.0556,3.8976e-05,3.8976e-05,3.8976e-05
32,4670.71,0.01741,0.98553,0.99957,0.0547,3.70752e-05,3.70752e-05,3.70752e-05
33,4821.93,0.01498,0.98553,0.9983,0.06161,3.51744e-05,3.51744e-05,3.51744e-05
34,4966.67,0.0153,0.98595,0.99915,0.051,3.32736e-05,3.32736e-05,3.32736e-05
35,5117.93,0.01608,0.98765,0.99957,0.0451,3.13728e-05,3.13728e-05,3.13728e-05
36,5266.57,0.01762,0.98553,0.99957,0.05344,2.9472e-05,2.9472e-05,2.9472e-05
37,5412.58,0.01564,0.9851,0.99957,0.06072,2.75712e-05,2.75712e-05,2.75712e-05
38,5555.17,0.01426,0.98638,0.99915,0.05855,2.56704e-05,2.56704e-05,2.56704e-05
39,5699.73,0.01196,0.98382,0.99957,0.06027,2.37696e-05,2.37696e-05,2.37696e-05
40,5842.53,0.01313,0.9851,0.99915,0.05726,2.18688e-05,2.18688e-05,2.18688e-05
41,5987.58,0.01365,0.98382,0.99957,0.0569,1.9968e-05,1.9968e-05,1.9968e-05
42,6130.04,0.0107,0.98382,0.99957,0.05678,1.80672e-05,1.80672e-05,1.80672e-05
43,6275.65,0.0142,0.98467,0.99957,0.05357,1.61664e-05,1.61664e-05,1.61664e-05
44,6421.25,0.01151,0.98723,0.99957,0.05624,1.42656e-05,1.42656e-05,1.42656e-05
45,6564.93,0.01041,0.98723,1,0.04947,1.23648e-05,1.23648e-05,1.23648e-05
46,6715.57,0.00998,0.98638,0.99957,0.05185,1.0464e-05,1.0464e-05,1.0464e-05
47,6860.3,0.01099,0.98638,1,0.05183,8.5632e-06,8.5632e-06,8.5632e-06
48,7006.91,0.0098,0.98765,1,0.05028,6.6624e-06,6.6624e-06,6.6624e-06
49,7156.33,0.00935,0.98851,1,0.04943,4.7616e-06,4.7616e-06,4.7616e-06
50,7306.38,0.00885,0.98851,1,0.0494,2.8608e-06,2.8608e-06,2.8608e-06
